country,region,water_stress_score,water_stress_label,groundwater_decline,drought_risk
Afghanistan,Badakhshan,2.2673447311626687,Medium - High (20-40%),,3.29325506631356
Afghanistan,Badghis,5.0,Extremely High (>80%),,3.27547495190899
Afghanistan,Baghlan,2.2673447311626687,Medium - High (20-40%),,3.29325506631356
Afghanistan,Balkh,5.0,Extremely High (>80%),,3.60801344043367
Afghanistan,Bamyan,5.0,Extremely High (>80%),,3.59342957307039
Afghanistan,Daykundi,4.752216560217028,Extremely High (>80%),,3.61432582074775
Afghanistan,Farah,5.0,Extremely High (>80%),,
Afghanistan,Faryab,5.0,Extremely High (>80%),,3.53548648651199
Afghanistan,Ghazni,1.6297362665659545,Low - Medium (10-20%),,3.28365005730697
Afghanistan,Ghor,5.0,Extremely High (>80%),,3.53548648651199
Afghanistan,Hilmand,5.0,Arid and Low Water Use,,
Afghanistan,Hirat,5.0,Extremely High (>80%),,3.08057037941918
Afghanistan,Jawzjan,3.859566068374339,High (40-80%),,2.45034199424723
Afghanistan,Kabul,2.2673447311626687,Medium - High (20-40%),,3.29325506631356
Afghanistan,Kandahar,5.0,Extremely High (>80%),,2.90910239304792
Afghanistan,Kapisa,2.2673447311626687,Medium - High (20-40%),,3.29325506631356
Afghanistan,Khost,2.2805747570795445,Medium - High (20-40%),,3.58657712594898
Afghanistan,Kunar,3.0628688845537404,High (40-80%),,3.47132274559267
Afghanistan,Kunduz,5.0,Arid and Low Water Use,,3.40976280110644
Afghanistan,Laghman,2.2673447311626687,Medium - High (20-40%),,3.29325506631356
Afghanistan,Logar,4.658748368991295,Extremely High (>80%),,3.20554340661425
Afghanistan,Nangarhar,2.2805747570795445,Medium - High (20-40%),,3.58657712594898
Afghanistan,Nimroz,5.0,Extremely High (>80%),,
Afghanistan,Nuristan,2.2673447311626687,Medium - High (20-40%),,3.29325506631356
Afghanistan,Paktika,5.0,Extremely High (>80%),,2.96521055676658
Afghanistan,Paktya,4.658748368991295,Extremely High (>80%),,3.20554340661425
Afghanistan,Panjshir,2.2673447311626687,Medium - High (20-40%),,3.29325506631356
Afghanistan,Parwan,2.2673447311626687,Medium - High (20-40%),,3.29325506631356
Afghanistan,Samangan,0.6411759814495559,Low (<10%),,3.35212596392063
Afghanistan,Sari Pul,5.0,Extremely High (>80%),,3.53548648651199
Afghanistan,Takhar,2.2673447311626687,Medium - High (20-40%),,3.29325506631356
Afghanistan,Uruzgan,1.4770152072177951,Low - Medium (10-20%),,2.61571410455469
Afghanistan,Wardak,2.7744210722889457,Medium - High (20-40%),,3.474502062952
Afghanistan,Zabul,5.0,Extremely High (>80%),,3.48543401590053
Akrotiri and Dhekelia,Akrotiri,5.0,Extremely High (>80%),,2.53962026768386
Akrotiri and Dhekelia,Dhekelia,5.0,Extremely High (>80%),,2.53962026768386
Albania,Berat,2.09895130499054,Medium - High (20-40%),,3.3574755573221
Albania,Dibër,4.40948213275825,Extremely High (>80%),,2.78974408266999
Albania,Durrës,4.40948213275825,Extremely High (>80%),,2.78974408266999
Albania,Elbasan,3.243450327855514,High (40-80%),,3.32310895327247
Albania,Fier,2.09895130499054,Medium - High (20-40%),,3.3574755573221
Albania,Gjirokastër,4.526926781962735,Extremely High (>80%),,2.61746312942805
